Dos. nr.;DossierStatus;Boekingsdatum;Vertrekdatum;Volledige naam klant;Bestemming;ArticlePoNummer;Artikelcode;Omschrijving;Artikelprijs;Totaal dossier
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;c791781ed94f9409;Hotelreservering Travelodge Rapid City;63,70;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;c791781ed94f9409;Hotelreservering Americas Best Value Inn 4 nachten;345,12;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;e54031dc7470d67e;Autohuur Sunny Cars type Chevrolet Spark 3/6 11.00- 7/6 16.00;241,00;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;0a40ba0908143439;Poliskosten;3,00;3.003,59
3012;Ok;28.04.2017 00:00:00;06.08.2017 00:00:00;2b0ff1138bfb444c;Storvallentour scandinavische trektocht te paard;;07dfcd4d85d6ae00;Storvallen Tour NOK 11.400,-;3.654,00;3.593,00
3012;Ok;28.04.2017 00:00:00;06.08.2017 00:00:00;2b0ff1138bfb444c;Storvallentour scandinavische trektocht te paard;;a1bea639bbbbc12a;Verzameltransfer ter plaatse te betalen;0,00;3.593,00
3013;Ok;02.05.2017 00:00:00;03.05.2017 00:00:00;c1a17a878cddd39c;Pittige Ritten in de Ardennen;;6dc37ffccd8f8373;Korte midweek Pittige ritten - afwijkend arrangement;255,00;255,00
3012;Ok;28.04.2017 00:00:00;06.08.2017 00:00:00;2b0ff1138bfb444c;Storvallentour scandinavische trektocht te paard;;73645d433fb32dd4;Kinderkorting;-61,00;3.593,00
3014;Ok;26.04.2017 00:00:00;02.06.2017 00:00:00;fca509d923ebcef2;Duitsland;;ada22b8f9419284e;Weekend Westernranch;510,00;510,00
3016;Geannuleerd;01.05.2017 00:00:00;12.05.2017 00:00:00;9c4274c8663508e7;National Park: paardrijden voor pure ontspanning;;d3d428825f1d0856;Eenpersoonskamer;20,00;0,00
